Time,v0,v1,v2,v
0.078,-0.1921347,0.0676362,9.941324,9.943410873413086
0.079,-0.20410569,0.06943185,9.931149,9.933487892150879
0.08,-0.17956513,0.06284779,9.945514,9.947333335876465
0.08,-0.18914193,0.0676362,9.985617,9.98763656616211
0.081,-0.21308395,0.05686229,9.965864,9.968304634094238
0.082,-0.18794483,0.0712275,9.96766,9.969686508178711
0.084,-0.18555063,0.05207389,9.951499,9.953365325927734
0.085,-0.19093758,0.060453594,9.957485,9.95949935913086
0.085,-0.20231004,0.0712275,9.969456,9.971762657165527
0.08700000000000001,-0.20530279,0.073023155,9.985617,9.987994194030762
0.088,-0.20649989,0.065242,9.980229,9.98257827758789
0.089,-0.19153613,0.05746084,9.998785,10.000783920288086
0.09,-0.18435353,0.05626374,9.980229,9.982090950012207
0.091,-0.20111294,0.05327099,9.958682,9.960854530334473
0.249,-0.18555063,0.048482586,9.961675,9.963521003723145
0.249,-0.19572599,0.046088383,9.966463,9.968491554260254
0.25,-0.19093758,0.044292733,9.962274,9.964201927185059
0.251,-0.17477672,0.05865794,9.973646,9.975350379943848
0.252,-0.19512744,0.048482586,9.946113,9.948144912719727
0.253,-0.20470424,0.046686932,9.967062,9.96927261352539
0.254,-0.19033903,0.04309563,9.9951935,9.997098922729492
0.255,-0.20709845,0.035913024,9.960478,9.962695121765137
0.256,-0.18734628,0.050876785,9.944916,9.946810722351074
0.257,-0.18614918,0.0796072,9.953894,9.955952644348145
0.258,-0.20590134,0.05865794,9.964069,9.96636962890625
0.258,-0.18854338,0.036511578,9.935937,9.937792778015137
0.259,-0.2148796,0.034715924,9.946711,9.949091911315918
0.259,-0.20649989,0.04309563,9.946113,9.948349952697754
0.26,-0.19512744,0.017956512,9.919776,9.921710968017578
0.261,-0.20590134,0.036511578,9.960478,9.96267318725586
0.262,-0.20590134,0.04129998,9.966463,9.968674659729004
0.263,-0.19991584,0.054468088,9.972448,9.974600791931152
0.263,-0.19153613,0.06464344,9.96766,9.969709396362305
0.264,-0.21308395,0.06584055,9.996989,9.999476432800293
0.265,-0.19153613,0.06584055,9.968858,9.970914840698242
0.265,-0.18255788,0.055066638,9.985018,9.986838340759277
0.266,-0.1933318,0.05805939,9.962872,9.964916229248047
0.267,-0.19812019,0.061650693,9.932944,9.935111045837402
0.267,-0.16340427,0.053869538,9.929952,9.931442260742188
0.268,-0.2088941,0.07182605,9.964069,9.966517448425293
0.268,-0.19632454,0.054468088,9.949105,9.951190948486328
0.269,-0.18495208,0.045489833,9.978435,9.980252265930176
0.269,-0.20470424,0.035913024,9.962274,9.964441299438477
0.27,-0.18136078,0.046088383,9.931747,9.933510780334473
0.271,-0.1933318,0.059855044,9.965864,9.96791934967041
0.271,-0.19812019,0.044891283,9.975441,9.977509498596191
0.272,-0.19093758,0.05746084,9.946113,9.948110580444336
0.273,-0.19153613,0.059855044,9.951499,9.953521728515625
0.273,-0.19273324,0.0712275,9.943718,9.945840835571289
0.274,-0.20530279,0.05207389,9.9790325,9.981280326843262
0.275,-0.21428105,0.049081136,9.973047,9.975469589233398
0.275,-0.20111294,0.029927522,9.950901,9.952978134155273
0.292,-0.20649989,0.036511578,9.9712515,9.973456382751465
0.293,-0.1933318,0.062249243,9.953295,9.955367088317871
0.293,-0.18435353,0.04249708,9.9550905,9.956888198852539
0.295,-0.2208651,0.04129998,9.961675,9.964208602905273
0.303,-0.20649989,0.061650693,9.953295,9.95562744140625
0.306,-0.18375498,0.075417355,9.944317,9.946300506591797
0.315,-0.18914193,0.06464344,9.928755,9.930766105651855
0.316,-0.18255788,0.05626374,9.979631,9.981459617614746
0.32,-0.18914193,0.050278235,9.986216,9.988133430480957
0.332,-0.19572599,0.053869538,9.976639,9.978704452514648
0.333,-0.20350714,0.07182605,9.951499,9.953839302062988
0.335,-0.20410569,0.06703765,9.940127,9.942448616027832
0.35000000000000003,-0.17956513,0.073023155,9.941324,9.94321346282959
0.35100000000000003,-0.18555063,0.05746084,9.950302,9.952198028564453
0.35100000000000003,-0.207697,0.054468088,10.000581,10.002885818481445
0.355,-0.18435353,0.0724246,9.975441,9.977407455444336
0.379,-0.18016368,0.049679685,9.932944,9.934701919555664
0.38,-0.20111294,0.054468088,9.940725,9.942909240722656
0.381,-0.18794483,0.05566519,9.949105,9.95103645324707
0.382,-0.18794483,0.0724246,9.989208,9.991238594055176
0.382,-0.19153613,0.038307227,9.958083,9.959999084472656
0.384,-0.1921347,0.05865794,9.949704,9.95173168182373
0.389,-0.18674773,0.055066638,9.972448,9.974349021911621
0.399,-0.17776948,0.051475335,9.961675,9.963393211364746
0.4,-0.19153613,0.038307227,9.992201,9.994110107421875
0.404,-0.18555063,0.040102877,9.981427,9.983232498168945
0.41600000000000004,-0.19632454,0.036511578,9.985617,9.987613677978516
0.417,-0.20649989,0.039504327,9.962872,9.965089797973633
0.419,-0.17178397,0.050876785,9.992201,9.993806838989258
0.426,-0.18794483,0.033518825,9.974244,9.976070404052734
0.428,-0.19572599,0.046088383,9.953894,9.955924987792969
0.433,-0.19812019,0.046686932,9.962274,9.96435260772705
0.439,-0.20470424,0.05746084,9.9473095,9.949581146240234
0.447,-0.20171149,0.055066638,9.954493,9.956687927246094
0.448,-0.20709845,0.050278235,9.969456,9.971733093261719
0.453,-0.20111294,0.04129998,9.974843,9.97695541381836
0.459,-0.19033903,0.05686229,9.96347,9.965450286865234
0.463,-0.20590134,0.061052144,9.970653,9.972965240478516
0.468,-0.1945289,0.049679685,9.974843,9.976862907409668
0.481,-0.19393034,0.051475335,9.961675,9.963695526123047
0.481,-0.19991584,0.05686229,9.973047,9.975213050842285
0.483,-0.19931729,0.06584055,9.958682,9.960893630981445
0.487,-0.2124854,0.0712275,9.969456,9.97197437286377
0.498,-0.20171149,0.05925649,9.974843,9.977058410644531
0.498,-0.19393034,0.061052144,9.9951935,9.997261047363281
0.503,-0.19871874,0.046088383,9.93474,9.936834335327148
0.514,-0.18794483,0.06823475,9.927557,9.929570198059082
0.514,-0.21547815,0.06703765,9.970653,9.97320556640625
0.517,-0.20231004,0.065242,9.98442,9.986682891845703
0.523,-0.19093758,0.059855044,9.980828,9.982833862304688
0.531,-0.20410569,0.05805939,9.996989,9.99924087524414
0.532,-0.20051439,0.059855044,9.9928,9.994990348815918
0.537,-0.20231004,0.06404489,9.987412,9.989665985107422
0.542,-0.19273324,0.05746084,9.989806,9.991830825805664
0.547,-0.1921347,0.05566519,9.982624,9.984628677368164
0.552,-0.17956513,0.0664391,9.969456,9.971294403076172
0.5660000000000001,-0.18974048,0.0700304,9.977237,9.979286193847656
0.5660000000000001,-0.19572599,0.0712275,9.959879,9.962056159973145
0.5670000000000001,-0.17776948,0.049081136,9.969456,9.971160888671875
0.5720000000000001,-0.18495208,0.038307227,9.974244,9.976032257080078
0.581,-0.18495208,0.035314474,9.972448,9.974225997924805
0.582,-0.19273324,0.047285482,9.937134,9.939115524291992
0.587,-0.18974048,0.047285482,9.92636,9.928285598754883
0.598,-0.17776948,0.050278235,9.968858,9.970569610595703
0.599,-0.1945289,0.049081136,9.977836,9.979852676391602
0.602,-0.20051439,0.048482586,9.977836,9.979968070983887
0.615,-0.18854338,0.04249708,9.972448,9.974320411682129
0.615,-0.17178397,0.054468088,9.959281,9.960911750793457
0.616,-0.17417817,0.06823475,9.97185,9.973605155944824
0.622,-0.18614918,0.048482586,9.958083,9.959940910339355
0.632,-0.1945289,0.05865794,9.9473095,9.949384689331055
0.632,-0.18435353,0.036511578,9.945514,9.94728946685791
0.636,-0.20290859,0.047285482,9.905411,9.907602310180664
0.642,-0.20709845,0.037110128,9.940127,9.942353248596191
0.646,-0.19931729,0.050876785,9.93893,9.941058158874512
0.651,-0.19393034,0.046088383,9.957485,9.959480285644531
0.661,-0.16639702,0.044891283,9.959281,9.960772514343262
0.663,-0.19632454,0.030526072,9.960478,9.962459564208984
0.666,-0.20410569,0.04369418,9.964667,9.966853141784668
0.671,-0.2100912,0.051475335,9.953295,9.955644607543945
0.681,-0.18974048,0.04189853,9.946711,9.9486083984375
0.682,-0.20350714,0.06404489,9.978435,9.980714797973633
0.686,-0.20709845,0.037708677,9.956287,9.958512306213379
0.6980000000000001,-0.21308395,0.050278235,9.961076,9.963481903076172
0.6980000000000001,-0.19692309,0.04249708,9.952697,9.95473575592041
0.7000000000000001,-0.19931729,0.03232172,9.9790325,9.981075286865234
0.709,-0.2100912,0.049679685,9.952697,9.955038070678711
0.71,-0.20949265,0.054468088,9.968259,9.970608711242676
0.715,-0.19512744,0.037110128,9.956287,9.958268165588379
0.72,-0.19632454,0.051475335,9.968858,9.97092342376709
0.727,-0.20350714,0.050876785,9.97185,9.974056243896484
0.73,-0.18854338,0.05566519,9.960478,9.962417602539063
0.735,-0.20350714,0.05267244,9.9473095,9.949530601501465
0.743,-0.18734628,0.075417355,9.958083,9.96013069152832
0.744,-0.19752164,0.06404489,9.953894,9.956059455871582
0.75,-0.207697,0.050876785,9.962872,9.965166091918945
0.754,-0.2124854,0.05925649,9.951499,9.953943252563477
0.762,-0.207697,0.060453594,9.965864,9.96821117401123
0.765,-0.21308395,0.06464344,9.974843,9.977328300476074
0.769,-0.20051439,0.06344634,9.962274,9.964493751525879
0.778,-0.2112883,0.07062895,9.961675,9.964165687561035
0.779,-0.20410569,0.06584055,9.97604,9.978344917297363
0.784,-0.19931729,0.06584055,9.967062,9.969271659851074
0.793,-0.20470424,0.074818805,9.948506,9.95089340209961
0.794,-0.19033903,0.06584055,9.943718,9.945757865905762
0.799,-0.2220622,0.06943185,9.958682,9.96139907836914
0.804,-0.21308395,0.060453594,9.961675,9.964137077331543
0.81,-0.20350714,0.05805939,9.978435,9.98067855834961
0.8150000000000001,-0.207697,0.035913024,9.958682,9.960911750793457
0.8190000000000001,-0.21428105,0.06464344,9.955689,9.958205223083496
0.8270000000000001,-0.19752164,0.073621705,9.955689,9.957921028137207
0.8280000000000001,-0.1921347,0.05746084,9.96347,9.96548843383789
0.834,-0.19093758,0.05626374,9.959879,9.961867332458496
0.844,-0.20829555,0.05267244,9.954493,9.95681095123291
0.845,-0.20111294,0.07182605,9.931149,9.933444023132324
0.848,-0.20949265,0.055066638,9.925163,9.927526473999023
0.854,-0.2088941,0.049081136,9.926959,9.929278373718262
0.86,-0.19991584,0.062249243,9.995792,9.997984886169434
0.863,-0.18614918,0.06703765,9.977237,9.979198455810547
0.868,-0.20051439,0.045489833,9.983821,9.98593807220459
0.877,-0.19991584,0.0676362,9.956886,9.959122657775879
0.878,-0.19093758,0.044891283,9.988011,9.989936828613281
0.883,-0.1921347,0.044292733,9.973646,9.975595474243164
0.893,-0.1933318,0.05925649,9.964069,9.966120719909668
0.894,-0.1945289,0.061052144,9.950901,9.95298957824707
0.898,-0.19692309,0.06404489,9.949704,9.951858520507813
0.903,-0.18315643,0.047285482,9.965266,9.967061996459961
0.91,-0.2088941,0.05746084,9.966463,9.968817710876465
0.913,-0.1945289,0.04309563,9.959879,9.961871147155762
0.918,-0.1921347,0.040102877,9.952098,9.954032897949219
0.926,-0.18914193,0.035913024,9.970653,9.972511291503906
0.927,-0.18914193,0.035913024,9.970653,9.972511291503906
0.933,-0.18734628,0.05626374,9.958682,9.960602760314941
0.9380000000000001,-0.20530279,0.054468088,9.940725,9.942994117736816
0.9450000000000001,-0.19393034,0.055066638,9.9790325,9.98106861114502
0.9470000000000001,-0.18974048,0.04070143,9.946113,9.948005676269531
0.9520000000000001,-0.18854338,0.05746084,9.953894,9.95584487915039
0.96,-0.18794483,0.05925649,9.975441,9.977387428283691
0.962,-0.20590134,0.045489833,9.955689,9.957921981811523
0.967,-0.1921347,0.046686932,9.972448,9.974408149719238
0.976,-0.2184709,0.031124622,9.936536,9.938985824584961
0.977,-0.207697,0.05626374,9.940127,9.942456245422363
0.982,-0.19812019,0.05805939,9.968858,9.970995903015137
0.987,-0.21547815,0.039504327,9.982025,9.984428405761719
0.993,-0.1945289,0.021547815,9.962872,9.964794158935547
0.997,-0.19752164,0.04070143,9.956886,9.958929061889648
1.002,-0.20470424,0.045489833,9.964069,9.966276168823242
1.0130000000000001,-0.20171149,0.048482586,9.964069,9.966228485107422
1.014,-0.20111294,0.038307227,9.972448,9.974549293518066
1.0170000000000001,-0.20649989,0.044891283,9.964069,9.966309547424316
1.027,-0.19812019,0.05267244,9.923966,9.9260835647583
1.028,-0.19812019,0.047884032,9.954493,9.956579208374023
1.031,-0.18076223,0.05925649,9.970055,9.971869468688965
1.036,-0.20709845,0.077811554,9.948506,9.950965881347656
1.044,-0.20051439,0.050278235,9.973047,9.975189208984375
1.046,-0.20530279,0.04369418,9.943718,9.94593334197998
1.051,-0.19033903,0.055066638,9.950901,9.952873229980469
1.064,-0.18195933,0.060453594,9.960478,9.962323188781738
1.065,-0.19153613,0.048482586,9.987412,9.98936653137207
1.066,-0.18614918,0.060453594,9.945514,9.947439193725586
1.071,-0.18136078,0.05327099,9.946113,9.947908401489258
1.08,-0.19752164,0.05686229,9.957485,9.959606170654297
1.081,-0.19931729,0.05207389,9.950302,9.952434539794922
1.086,-0.18914193,0.055066638,9.952098,9.954047203063965
1.096,-0.20410569,0.061650693,9.941324,9.943610191345215
1.097,-0.18435353,0.05925649,9.939528,9.941414833068848
1.1,-0.18674773,0.06344634,9.965266,9.967218399047852
1.116,-0.17417817,0.05207389,9.9790325,9.980688095092773
1.117,-0.1933318,0.079008654,9.986814,9.988996505737305
1.117,-0.18076223,0.05686229,9.961675,9.96347713470459
1.12,-0.19991584,0.050278235,9.951499,9.953634262084961
1.125,-0.19871874,0.05925649,9.959281,9.96143913269043
1.1300000000000001,-0.2124854,0.045489833,9.945514,9.947887420654297
1.1360000000000001,-0.18914193,0.055066638,9.948506,9.950456619262695
1.1460000000000001,-0.17956513,0.046088383,9.990405,9.992125511169434
1.147,-0.20590134,0.0676362,9.974244,9.976597785949707
1.1500000000000001,-0.18854338,0.047285482,9.980828,9.982721328735352
1.168,-0.20410569,0.047884032,9.967062,9.969266891479492
1.171,-0.20649989,0.05746084,9.954493,9.956799507141113
1.172,-0.19931729,0.053869538,9.952697,9.954838752746582
1.173,-0.20171149,0.0676362,9.959281,9.961553573608398
1.183,-0.19033903,0.054468088,9.974244,9.976208686828613
1.184,-0.19512744,0.065242,9.978435,9.980555534362793
1.185,-0.19632454,0.034117375,9.96766,9.96965217590332
1.194,-0.1933318,0.05686229,9.959879,9.961917877197266
1.196,-0.1933318,0.049679685,9.970055,9.972052574157715
1.2,-0.19812019,0.054468088,9.965266,9.967384338378906
1.216,-0.21547815,0.049679685,9.974843,9.977293968200684
1.217,-0.2100912,0.037110128,9.953894,9.95617961883545
1.218,-0.20290859,0.05746084,9.9712515,9.973481178283691
1.223,-0.18076223,0.04129998,9.959879,9.961605072021484
1.237,-0.20231004,0.03232172,9.968858,9.970963478088379
1.237,-0.20111294,0.044292733,9.977237,9.979361534118652
1.246,-0.19512744,0.03232172,9.94312,9.945087432861328
1.247,-0.19991584,0.047884032,9.982025,9.98414134979248
1.249,-0.19273324,0.047285482,9.972448,9.974422454833984
1.25,-0.1945289,0.026934769,9.958682,9.960618019104004
1.264,-0.18674773,0.038307227,9.965864,9.967687606811523
1.264,-0.1945289,0.035913024,9.998186,10.000143051147461
1.2650000000000001,-0.19572599,0.047285482,9.983223,9.98525333404541
1.268,-0.1945289,0.061650693,9.993997,9.996079444885254
1.278,-0.18255788,0.04129998,9.985018,9.986771583557129
1.2790000000000001,-0.20949265,0.061052144,9.981427,9.98381233215332
1.283,-0.2100912,0.07062895,9.970653,9.973115921020508
1.294,-0.20590134,0.05925649,9.958682,9.960986137390137
1.295,-0.18674773,0.076015905,9.96766,9.969698905944824
1.298,-0.20171149,0.055066638,9.987412,9.989601135253906
1.303,-0.20530279,0.044292733,9.966463,9.96867561340332
1.318,-0.17357962,0.045489833,9.956886,9.958502769470215
1.319,-0.18734628,0.049081136,9.938332,9.940217971801758
1.32,-0.20590134,0.05207389,9.96766,9.969922065734863
1.33,-0.18914193,0.044292733,9.966463,9.968356132507324
1.331,-0.20051439,0.06703765,9.977237,9.979476928710938
1.333,-0.19752164,0.05805939,10.001778,10.003896713256836
1.338,-0.18016368,0.044292733,9.970055,9.971780776977539
1.348,-0.20051439,0.049081136,9.953894,9.956034660339355
1.349,-0.19393034,0.035913024,9.968858,9.970808982849121
1.354,-0.19033903,0.05267244,9.979631,9.981585502624512
1.371,-0.20410569,0.076015905,9.982624,9.984999656677246
1.372,-0.2088941,0.06703765,9.950901,9.953319549560547
1.374,-0.1933318,0.074818805,9.9233675,9.925532341003418
1.375,-0.19273324,0.077811554,9.969456,9.9716215133667
1.377,-0.20111294,0.060453594,9.986216,9.988423347473145
1.3820000000000001,-0.20530279,0.074220255,9.959879,9.962271690368652
1.3960000000000001,-0.20410569,0.073621705,9.941922,9.944290161132813
1.397,-0.22026655,0.0724246,9.9473095,9.950011253356934
1.3980000000000001,-0.20350714,0.076015905,9.950901,9.953271865844727
1.4020000000000001,-0.21308395,0.06703765,9.956886,9.959391593933105
1.412,-0.20709845,0.0712275,9.9473095,9.94972038269043
1.413,-0.22146365,0.061052144,9.9473095,9.94996166229248
1.417,-0.19931729,0.05686229,9.929952,9.932114601135254
1.43,-0.207697,0.054468088,9.973047,9.975358009338379
1.431,-0.19812019,0.06404489,9.975441,9.97761344909668
1.432,-0.18016368,0.051475335,9.988011,9.989768981933594
1.447,-0.17657238,0.04369418,9.976639,9.978297233581543
1.448,-0.19033903,0.038905777,9.986216,9.988104820251465
1.449,-0.1933318,0.049679685,9.991004,9.992998123168945
1.451,-0.19273324,0.049081136,9.983223,9.985203742980957
1.475,-0.19752164,0.047884032,9.98442,9.986488342285156
1.476,-0.20231004,0.05686229,9.964667,9.966882705688477
1.477,-0.17836803,0.038307227,9.962872,9.9645414352417
1.477,-0.1921347,0.039504327,9.936536,9.938471794128418
1.478,-0.20111294,0.05207389,9.985018,9.987178802490234
1.481,-0.21188685,0.055066638,9.97604,9.97844123840332
1.488,-0.20171149,0.048482586,9.964069,9.966228485107422
1.5030000000000001,-0.20290859,0.035913024,9.958682,9.960813522338867
1.504,-0.19572599,0.060453594,9.976639,9.978741645812988
1.5050000000000001,-0.1933318,0.035314474,9.94312,9.945062637329102
1.506,-0.19931729,0.04309563,9.952098,9.954187393188477
1.512,-0.19572599,0.051475335,9.983223,9.985274314880371
1.516,-0.18435353,0.053869538,9.958682,9.96053409576416
1.5270000000000001,-0.18974048,0.039504327,9.941922,9.943811416625977
1.528,-0.18435353,0.038905777,9.932944,9.934731483459473
1.53,-0.19871874,0.04189853,9.937134,9.939208984375
1.5350000000000001,-0.1945289,0.05925649,9.953894,9.955970764160156
1.546,-0.19153613,0.04249708,9.93474,9.936676979064941
1.546,-0.18375498,0.05626374,9.949704,9.951560020446777
1.55,-0.17597382,0.060453594,9.9473095,9.949049949645996
1.567,-0.20709845,0.054468088,9.960478,9.962779998779297
1.567,-0.19812019,0.06703765,9.968858,9.971052169799805
1.568,-0.19033903,0.055066638,9.959281,9.961252212524414
1.579,-0.18854338,0.046088383,9.937733,9.939627647399902
