Time,v0,v1,v2,v
0.076,0.29209262,5.695806,7.7428484,9.616612434387207
0.076,0.362123,5.403115,8.307879,9.916936874389648
0.077,0.30466217,5.12838,8.765771,10.160306930541992
0.078,0.207697,5.2020016,8.586804,10.041770935058594
0.078,0.2669535,5.175067,8.523956,9.97549057006836
0.079,0.3597288,5.143344,8.625112,10.048678398132324
0.079,0.40581718,5.13257,8.698134,10.107694625854492
0.08,0.427365,5.1756654,8.72507,10.153669357299805
0.08,0.45968673,5.2121773,8.669404,10.126039505004883
0.081,0.48003745,5.239112,8.655039,10.128594398498535
0.081,0.4758476,5.2498856,8.659229,10.137553215026855
0.199,0.44352585,5.2474914,8.65025,10.127177238464355
0.199,0.41240123,5.288193,8.644864,10.142422676086426
0.2,0.38367084,5.2905874,8.604162,10.107874870300293
0.2,0.3764882,5.2822075,8.590396,10.091499328613281
0.201,0.38187516,5.276222,8.556278,10.059535026550293
0.201,0.3309984,5.2899885,8.520964,10.034956932067871
0.201,0.28550854,5.3324857,8.495226,10.03423023223877
0.202,0.24839842,5.33488,8.453327,9.999069213867188
0.202,0.22445641,5.365406,8.459911,10.02038288116455
0.203,0.18195933,5.3779755,8.446744,10.015149116516113
0.203,0.14604631,5.4007206,8.465299,10.042428970336914
0.20400000000000001,0.15981296,5.3887496,8.443152,10.017533302307129
0.20400000000000001,0.17836803,5.357625,8.399458,9.964279174804688
0.20500000000000002,0.18016368,5.373187,8.3408,9.923333168029785
0.20500000000000002,0.1921347,5.4019175,8.325836,9.926589012145996
0.20500000000000002,0.22864626,5.422867,8.392874,9.995003700256348
0.20600000000000002,0.2633622,5.4168816,8.449737,10.04041862487793
0.20600000000000002,0.27234045,5.395932,8.435969,10.017775535583496
0.20700000000000002,0.28670564,5.395932,8.471883,10.048437118530273
0.20700000000000002,0.30226797,5.3486466,8.4587145,10.01245403289795
0.20800000000000002,0.33997664,5.315128,8.461109,9.99782657623291
0.20800000000000002,0.35913026,5.2905874,8.4647,9.98851490020752
0.209,0.35075054,5.2498856,8.500014,9.99672794342041
0.21,0.3669114,5.2247467,8.512584,9.994832992553711
0.212,0.37469256,5.209783,8.555679,10.024065017700195
0.213,0.34835634,5.2169657,8.571242,10.040133476257324
0.214,0.32022446,5.2361193,8.503007,9.991026878356934
0.234,0.27473465,5.2421045,8.420407,9.92262077331543
0.23500000000000001,0.27114335,5.2618566,8.368932,9.889371871948242
0.23500000000000001,0.2693477,5.2486887,8.329428,9.84889030456543
0.23600000000000002,0.27114335,5.2600613,8.356362,9.87778091430664
0.241,0.24600422,5.261258,8.336012,9.860549926757813
0.244,0.24540567,5.2498856,8.384495,9.895517349243164
0.25,0.24660277,5.2540755,8.397662,9.908927917480469
0.253,0.23343466,5.237316,8.422203,9.920557975769043
0.258,0.22445641,5.2522798,8.421006,9.927244186401367
0.267,0.23283611,5.2444987,8.422802,9.924846649169922
0.268,0.23942018,5.271434,8.450933,9.963112831115723
0.272,0.24420857,5.2852,8.4664955,9.983713150024414
0.278,0.23223756,5.3199162,8.472482,10.006916999816895
0.28300000000000003,0.18854338,5.3318872,8.428787,9.975420951843262
0.28700000000000003,0.16400282,5.345654,8.4826565,10.02787971496582
0.293,0.1592144,5.3606176,8.595184,10.131078720092773
0.309,0.11791443,5.3755813,8.747814,10.268156051635742
0.31,0.09816227,5.410896,8.787319,10.320096969604492
0.311,0.109534726,5.3899465,8.750807,10.278139114379883
0.312,0.1376666,5.370793,8.626308,10.162556648254395
0.317,0.17058687,5.3205147,8.416218,9.958398818969727
0.322,0.23463176,5.3300915,8.209119,9.790534019470215
0.327,0.29328972,5.3402667,8.003218,9.6257963180542
0.335,0.31244332,5.3462524,7.814076,9.47311019897461
0.337,0.320823,5.377377,7.679402,9.380422592163086
0.342,0.2681506,5.3899465,7.5453267,9.276603698730469
0.35100000000000003,0.25857377,5.4049106,7.510012,9.256360054016113
0.352,0.2621651,5.407903,7.6369047,9.361434936523438
0.357,0.25677812,5.366603,7.8086886,9.478501319885254
0.368,0.29568392,5.378574,8.007407,9.650650978088379
0.369,0.28191724,5.405509,8.238448,9.857536315917969
0.372,0.24361002,5.437232,8.373122,9.986591339111328
