Time,v0,v1,v2,v
0.08600000000000001,-1.0133458,1.8770541,12.19307,12.378253936767578
0.08600000000000001,-1.3066356,1.903989,11.938686,12.15996265411377
0.08700000000000001,-1.6065093,1.9620483,11.684901,11.95689868927002
0.08700000000000001,-1.881244,2.0284874,11.258135,11.593077659606934
0.088,-2.1152773,2.059612,10.752359,11.150320053100586
0.088,-2.307412,2.0404584,10.180145,10.635929107666016
0.089,-2.4396915,2.034473,9.686341,10.193938255310059
0.089,-2.484583,2.0871453,9.257181,9.809420585632324
0.091,-2.4690206,2.136825,8.921992,9.500738143920898
0.091,-2.308609,2.2098482,8.570643,9.147077560424805
0.092,-2.308609,2.2098482,8.570643,9.147077560424805
0.092,-2.1452048,2.2852654,8.503606,9.062871932983398
0.093,-1.9027919,2.415151,8.409634,8.95407772064209
0.093,-1.6573862,2.4929626,8.356961,8.876969337463379
0.094,-1.501763,2.4833858,8.354567,8.844279289245605
0.149,-1.3862427,2.4492683,8.321048,8.784100532531738
0.149,-1.2964603,2.3870192,8.34918,8.779947280883789
0.15,-1.2395979,2.3116016,8.416816,8.816059112548828
0.15,-1.2258313,2.2349873,8.486847,8.86139965057373
0.151,-1.134253,2.1404164,8.644265,8.977261543273926
0.152,-1.0378864,1.9859903,8.936956,9.213606834411621
0.152,-0.93254155,1.769315,9.306861,9.519336700439453
0.153,-0.78769237,1.5765818,9.728839,9.887182235717773
0.153,-0.3890578,1.3323733,10.325593,10.41846752166748
0.154,-0.17896658,0.93732995,10.806828,10.848876953125
0.155,-0.3681085,0.54049104,11.040861,11.060210227966309
0.155,-0.6428431,0.28790274,11.201273,11.223397254943848
0.157,-0.8714894,0.16639702,11.328764,11.36345386505127
0.164,-1.1504139,0.27593175,11.315596,11.37727165222168
0.167,-1.5071499,0.47345337,11.113286,11.225007057189941
0.17200000000000001,-1.8770541,0.7278373,10.779295,10.965686798095703
0.179,-2.3157916,0.908001,10.21965,10.518013954162598
0.182,-2.666542,1.1043255,9.802461,10.218523025512695
0.186,-2.7491422,1.2192472,9.861717,10.310083389282227
0.197,-2.8083985,1.2892777,9.833585,10.30770206451416
0.198,-2.8179753,1.3210008,9.798869,10.281238555908203
0.201,-2.6755204,1.3012487,9.849746,10.289274215698242
0.20800000000000002,-2.36188,1.2012907,9.938332,10.285524368286133
0.211,-1.8136078,0.973243,9.952098,10.162707328796387
0.216,-1.2240356,0.7457938,10.092158,10.193435668945313
0.221,-0.8379706,0.5805939,10.437522,10.487189292907715
0.227,-0.5602432,0.45789108,10.870275,10.894329071044922
0.231,-0.41599256,0.31543607,11.009736,11.022107124328613
0.23600000000000002,-0.5117606,0.30945057,10.871471,10.887907981872559
0.248,-0.729633,0.4818331,10.667366,10.703141212463379
0.249,-1.0690111,0.7457938,10.441113,10.522159576416016
0.252,-1.4305356,0.9367314,10.0987425,10.242485046386719
0.256,-1.7274165,0.98940384,9.761759,9.962671279907227
0.268,-1.8273745,0.96187055,9.527127,9.748366355895996
0.268,-1.8177977,0.90740246,9.337985,9.556449890136719
0.27,-1.8513165,0.85532856,9.184756,9.408437728881836
0.281,-1.87047,0.84335756,9.035717,9.265748023986816
0.28200000000000003,-1.8285716,0.87089086,8.965088,9.191024780273438
0.28600000000000003,-1.7465701,0.8912416,9.015367,9.226139068603516
0.297,-1.5759833,0.88645315,9.16261,9.339323043823242
0.298,-1.2773066,0.8098387,9.282919,9.405314445495605
0.302,-1.0468647,0.7320272,9.235633,9.323555946350098
0.305,-0.908001,0.5967548,9.003994,9.069315910339355
